3108070400 / 0ab5424149303011037603 = 1: scan.08 
3108b5090127 / 094e353c3c3c3c3c3c3c = 8: Scan.08 Id
3108b516081003ffff03030032 / 0b0300000303213293198747 = 433: bai EnergyElectricalCurrentYearHeating
3108b516081003ffff03030030 / 0b03010003037b301d559847 = 863: bai EnergyElectricalPreviousYearHeating
3108b516081003ffff03000032 / 0b0300ff030021328fb7c347 = 432: bai EnergyElectricalCurrentYearTotal
3108b516081003ffff03000030 / 0b0301ff03007b30bc39a647 = 853: bai EnergyElectricalPreviousYearTotal
3108b516081000ffff03040030 / 0b00000303043d3322071547 = 429: bai EnergyElectricalAllHotWater
3108b516081003ffff03040032 / 0b03000303042132ed77f246 = 431: bai EnergyElectricalCurrentYearHotWater
3108b516081003ffff03040030 / 0b03010303047b30ed49de45 = 428: bai EnergyElectricalPreviousYearHotWater
3108b516081003ffff04030032 / 0b03000104032132749f8d4a = 424: bai EnergyGasCurrentYearHeating
3108b516081000ffff04000030 / 0b0000ff04003d338c36504b = 852: bai EnergyGasAllTotal
3108b516081003ffff04000032 / 0b0300ff040021324ebee04a = 425: bai EnergyGasCurrentYearTotal
3108b516081000ffff04030030 / 0b00000104033d33f1a1194b = 856: bai EnergyGasAllHeating
3108b516081000ffff04040030 / 0b00000404043d336c525a4a = 423: bai EnergyGasAllHotWater
3108b516081003ffff04040032 / 0b03000404042132b43d264a = 430: bai EnergyGasCurrentYearHotWater
3108b516081003ffff04040030 / 0b03010404047b3000535049 = 432: bai EnergyGasPreviousYearHotWater
3108b516081000ffff09000030 / 0b0000ff09003d336e725a4b = 422: bai EnergyHeatPumpAllTotal
3108b516081000ffff09030030 / 0b00000209033d330844274b = 434: bai EnergyHeatPumpAllHeating
3108b516081000ffff09040030 / 0b00000509043d3398b94c4a = 430: bai EnergyHeatPumpAllHotWater
31fe07fe00 = 1: Broadcast Queryexistence
3108b5110101 / 0956510080ff530000ff = 435: bai Status01
3108b5110102 / 06033c5a468c5a = 436: bai Status02
3108b505020135 / 00 = 5: bai SetTempDesired
3108b509030d0704 / 0100 = 2: bai PartloadHcKW
3108b509030d0b04 / 0100 = 428: bai SecondPumpMode
3108b509030d1100 / 0100 = 431: bai TempGradientFailure
3108b509030d1104 / 029900 = 424: bai HwcPostrunTime
3108b509030d1200 / 0100 = 429: bai TempDiffBlock
3108b509030d1300 / 0100 = 429: bai TempDiffFailure
3108b509030d1400 / 02bf12 = 432: bai PumpHours
3108b509030d1500 / 02fb3b = 426: bai HcPumpStarts
3108b509030d1700 / 039d0200 = 428: bai StorageTemp
3108b509030d1800 / 03b10200 = 421: bai FlowTemp
3108b509030d1a00 / 028a0d = 431: bai ValveStarts
3108b509030d1b00 / 027b0b = 427: bai FanHours
3108b509030d1c00 / 022b5f = 428: bai FanStarts
3108b509030d1e00 / 0101 = 428: bai OverflowCounter
3108b509030d2000 / 0100 = 428: bai DeactivationsTemplimiter
3108b509030d2004 / 0402000000 = 426: bai HoursTillService
3108b509030d2200 / 02d002 = 425: bai HwcHours
3108b509030d2300 / 021d00 = 426: bai HwcStarts
3108b509030d2800 / 024308 = 427: bai HcHours
3108b509030d2900 / 02c000 = 429: bai HcStarts
3108b509030d2a04 / 021900 = 434: bai ValveMode
3108b509030d3000 / 0102 = 426: bai HcUnderHundredStarts
3108b509030d3100 / 0134 = 427: bai HwcUnderHundredStarts
3108b509030d3500 / 024107 = 430: bai Maintenancedata_HwcTempMax
3108b509030d3600 / 02e103 = 428: bai StorageTempMax
3108b509030d3700 / 025105 = 427: bai FlowTempMax
3108b509030d3900 / 020000 = 430: bai FlowTempDesired
3108b509030d4c00 / 026303 = 434: bai StorageLoadPumpHours
3108b509030d4f00 / 02cd0b = 429: bai StorageloadPumpStarts
3108b509030d6904 / 0400000000 = 432: bai SetModeOverride
3108b509030d6b00 / 03e3ffaa = 429: bai Expertlevel_ReturnTemp
3108b509030d6e00 / 0124 = 429: bai CounterStartattempts1
3108b509030d6f00 / 0104 = 430: bai CounterStartattempts2
3108b509030d7300 / 0100 = 428: bai PumpPower
3108b509030d7600 / 0339fcaa = 431: bai OutdoorstempSensor
3108b509030d7700 / 01f0 = 432: bai Templimiter
3108b509030d8100 / 0103 = 430: bai CounterStartAttempts3
3108b509030d8200 / 0103 = 426: bai CounterStartAttempts4
3108b509030d9800 / 05880277fd00 = 429: bai ReturnTemp
3108b509030db700 / 0103 = 430: bai HcPumpMode
3108b509030dbe00 / 02ad04 = 424: bai ReturnTempMax
3108b509030dc300 / 020000 = 434: bai SHEMaxFlowTemp
3108b509030dd200 / 010f = 434: bai TemplimiterWithNTC
3108b509030df100 / 01de = 430: bai WaterpressureMeasureCounter
3108b509030df703 / 0101 = 429: bai WPPostrunTime

